ccode,cdesc
25,Parked in a loading place or bay during restricted hours without loading - goods vehicle loading bays
32,Failing to proceed in the direction shown by the arrow on a blue sign (one way traffic)
1,Parked in a restricted street during prescribed hours - temporary traffic order
34,Being in a bus lane
61,"A heavy commercial vehicle wholly or partly parked on a footway, verge or land between two carriageways - all wheels on footway"
30,Parked for longer than permitted - mobile phone parking
55,A commercial vehicle parked in a restricted street in contravention of the overnight waiting ban
24,Not parked correctly within the markings of the bay or space - shared use bay
5,Parked after the expiry of paid for time - Pay & display
19,"Parked in a residents' or shared use parking place or zone with an invalid virtual permit or displaying an invalid physical permit or voucher or pay and display ticket, or after the expiry of paid for time - incorrect VRM"
29,Failing to comply with a one-way restriction
19,"Parked in a residents' or shared use parking place or zone with an invalid virtual permit or displaying an invalid physical permit or voucher or pay and display ticket, or after the expiry of paid for time - obscured / illegible permit"
24,Not parked correctly within the markings of the bay or space - free parking bay
62,Parked with one or more wheels on or over a footpath or any part of a road other than a carriageway - one wheel on footway
27,"Parked in a special enforcement area adjacent to a footway, cycle track or verge lowered to meet the level of the carriageway - blue badge holder"
47,Stopped on a restricted bus stop/stand - red route
42,Parked in a parking place designated for police vehicles
63,Parked with engine running where prohibited
28,"Parked in a special enforcement area on part of the carriageway raised to meet the level of a footway, cycle track or verge - blue badge holder"
1,Parked in a restricted street during prescribed hours - camera enforcement
24,Not parked correctly within the markings of the bay or space - electric vehicles bay
62,Parked with one or more wheels on or over a footpath or any part of a road other than a carriageway - on grass verge
24,Not parked correctly within the markings of the bay or space - goods vehicle loading bays
24,Not parked correctly within the markings of the bay or space - car club bay
1,Parked in a restricted street during prescribed hours - out of date permit
31,Entering and stopping in a box junction when prohibited
5,Failing to comply with a no entry restriction
53,Failing to comply with a restriction on vehicles entering a pedestrian zone
21,Parked wholly or partly in a suspended bay or space - buses only
2,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force - temporary traffic order
61,"A heavy commercial vehicle wholly or partly parked on a footway, verge or land between two carriageways - partly on footway"
16,Parked in a permit space or zone without a valid virtual permit or clearly displaying a valid physical permit where required - out of date permit
5,Parked after the expiry of paid for time - electric vehicles bay
21,Parked wholly or partly in a suspended bay or space - voucher
61,"A heavy commercial vehicle wholly or partly parked on a footway, verge or land between two carriageways - one wheel on footway"
24,Not parked correctly within the markings of the bay or space - loading place
19,"Parked in a residents' or shared use parking place or zone with an invalid virtual permit or displaying an invalid physical permit or voucher or pay and display ticket, or after the expiry of paid for time - wrong type of voucher"
16,Parked in a permit space or zone without a valid virtual permit or clearly displaying a valid physical permit where required - obscured / illegible permit
21,Parked wholly or partly in a suspended bay or space - business bay
48,"Stopped in a restricted area outside a school, a hospital or a fire, police or ambulance station when prohibited"
16,Parked in a permit space or zone without a valid virtual permit or clearly displaying a valid physical permit where required- dedicated disabled bay
1,Parked in a restricted street during prescribed hours - obsured / illegible permit
61,"A heavy commercial vehicle wholly or partly parked on a footway, verge or land between two carriageways - on grass verge"
21,Parked wholly or partly in a suspended bay or space - doctor`s bay
2,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force - camera enforcement
19,"Parked in a residents' or shared use parking place or zone with an invalid virtual permit or displaying an invalid physical permit or voucher or pay and display ticket, or after the expiry of paid for time - virtual permit"
54,Failing to comply with a restriction on vehicles entering and waiting in a pedestrian zone
24,Not parked correctly within the markings of the bay or space - voucher
21,Parked wholly or partly in a suspended bay or space - dedicated disabled bay
5,Parked after the expiry of paid for time voucher
61,"A heavy commercial vehicle wholly or partly parked on a footway, verge or land between two carriageways - on vehicle crossover"
46,Stopped where prohibited (on a red route or clearway)
48,"Stopped in a restricted area outside a school, a hospital or a fire, police or ambulance station when prohibited - camera enforcement"
52,Failing to comply with a prohibition on certain types of vehicle (goods vehicles exceeding max gross weight indicated)
16,Parked in a permit space or zone without a valid virtual permit or clearly displaying a valid physical permit where required - hospital bay
,
